Date,Week,erfaring,utdanning
2015-03-10,114.0,25.0,0.0
2015-03-17,115.0,75.75757575757576,0.0
2015-03-24,116.0,24.59016393442623,8.196721311475411
2015-03-31,117.0,0.0,0.0
2015-04-07,118.0,35.46099290780142,70.92198581560284
2015-04-14,119.0,27.27272727272727,45.45454545454545
2015-04-21,120.0,0.0,0.0
2015-04-28,121.0,58.8235294117647,8.403361344537815
2015-05-05,122.0,19.607843137254903,0.0
2015-05-12,123.0,51.724137931034484,17.241379310344826
2015-05-19,124.0,41.666666666666664,13.888888888888888
2015-05-26,125.0,29.41176470588235,0.0
2015-06-02,126.0,35.714285714285715,14.285714285714285
2015-06-09,127.0,0.0,0.0
2015-06-16,128.0,70.92198581560284,78.01418439716312
2015-06-23,129.0,39.21568627450981,19.607843137254903
