Number,Time
638.0,68.321704
639.0,68.431492
640.0,68.574592
641.0,68.644527
642.0,68.684191
643.0,68.885912
644.0,69.087194
645.0,69.287008
646.0,69.35713
647.0,69.474241
648.0,69.561446
649.0,69.663346
650.0,69.738558
651.0,69.92446
652.0,70.039524
653.0,70.12384
654.0,70.184384
655.0,70.278976
656.0,70.325399
657.0,70.404201
658.0,70.445099
659.0,70.585943
660.0,70.711172
661.0,70.823245
662.0,70.975408
663.0,71.14524
664.0,71.232166
665.0,71.395125
666.0,71.548365
667.0,71.708702
668.0,71.82796
669.0,72.037191
670.0,72.114244
671.0,72.194359
672.0,72.244454
673.0,72.323036
674.0,72.406017
675.0,72.413113
676.0,72.419097
677.0,72.527373
678.0,72.601036
679.0,72.710134
680.0,72.724086
681.0,72.812559
682.0,72.823761
683.0,72.834699
684.0,72.937872
685.0,72.976295
686.0,73.15193
687.0,73.316523
688.0,73.481495
689.0,73.668948
690.0,73.765055
691.0,73.903574
692.0,74.020473
693.0,74.097365
694.0,74.166262
695.0,74.24823
696.0,74.358325
697.0,74.553814
698.0,74.648863
699.0,74.755227
700.0,74.841629
701.0,74.966782
702.0,75.206317
703.0,75.29258
704.0,75.349616
705.0,75.360242
706.0,75.467471
707.0,75.642225
708.0,75.675541
709.0,75.770464
710.0,75.817558
711.0,75.991238
712.0,76.067177
713.0,76.169457
714.0,76.250887
715.0,76.388341
716.0,76.419482
717.0,76.495899
718.0,76.572005
719.0,76.615968
720.0,76.724598
721.0,76.765648
722.0,76.855932
723.0,76.906341
724.0,77.000426
725.0,77.039065
726.0,77.047277
727.0,77.097223
728.0,77.274218
729.0,77.36805
730.0,77.5216
731.0,77.540668
732.0,77.681314
733.0,77.701397
734.0,77.978559
735.0,78.149861
736.0,78.192199
737.0,78.306213
738.0,78.346191
739.0,78.404478
740.0,78.548441
741.0,78.677666
742.0,78.749373
743.0,78.90854
744.0,79.041741
745.0,79.164632
746.0,79.207381
747.0,79.316102
748.0,79.354135
749.0,79.528167
750.0,79.598223
751.0,79.663174
752.0,79.842986
753.0,79.885964
754.0,79.955582
755.0,80.041417
756.0,80.1074
757.0,80.265187
758.0,80.293202
759.0,80.3982
760.0,80.490162
761.0,80.596967
762.0,80.62057
763.0,80.69086
764.0,80.872197
765.0,80.976851
766.0,81.086515
767.0,81.32994
768.0,81.550287
769.0,81.674627
770.0,81.766414
771.0,81.977387
772.0,82.088811
773.0,82.2626
774.0,82.344212
775.0,82.476073
776.0,82.527614
777.0,82.631828
778.0,82.764399
779.0,82.874352
780.0,82.937181
781.0,83.000122
782.0,83.138166
783.0,83.270073
784.0,83.445411
785.0,83.559057
786.0,83.615896
787.0,83.654829
788.0,83.742947
789.0,83.765972
790.0,83.862013
791.0,84.1682
792.0,84.195159
793.0,84.224249
794.0,84.349551
795.0,84.395436
796.0,84.687785
797.0,84.949325
798.0,85.086266
799.0,85.254607
800.0,85.519321
801.0,85.597114
802.0,85.723067
803.0,85.775777
804.0,85.800144
805.0,85.933798
806.0,85.943892
807.0,85.970799
808.0,86.062514
809.0,86.126349
810.0,86.157267
811.0,86.328059
812.0,86.363201
813.0,86.48292
814.0,86.626167
815.0,86.703184
816.0,86.798382
817.0,86.975122
818.0,87.03523
819.0,87.191225
820.0,87.303851
821.0,87.394186
822.0,87.505092
823.0,87.726053
824.0,87.989418
825.0,87.997402
826.0,88.179198
827.0,88.221662
828.0,88.346881
829.0,88.493276
830.0,88.57333
831.0,88.60204
832.0,88.728295
833.0,88.838012
834.0,88.896281
835.0,88.973016
836.0,89.147775
837.0,89.250326
838.0,89.321319
839.0,89.445037
840.0,89.524574
841.0,89.565039
842.0,89.596941
843.0,89.613555
844.0,89.693001
845.0,89.764498
846.0,89.890047
847.0,89.948975
848.0,90.001243
849.0,90.029344
850.0,90.137617
851.0,90.264931
852.0,90.410566
853.0,90.536121
854.0,90.729863
855.0,90.95241
856.0,91.239126
857.0,91.306465
858.0,91.335483
859.0,91.477403
860.0,91.598559
861.0,91.688929
862.0,91.766984
863.0,91.870753
864.0,91.962008
865.0,92.077489
866.0,92.194216
867.0,92.317491
868.0,92.421576
869.0,92.489377
870.0,92.583259
871.0,92.731578
872.0,92.784439
873.0,92.908169
874.0,93.054549
875.0,93.195353
876.0,93.217345
877.0,93.322408
878.0,93.437136
879.0,93.617236
880.0,93.676383
881.0,93.761507
882.0,93.880212
883.0,94.006337
884.0,94.152861
885.0,94.176195
886.0,94.319366
887.0,94.35927
888.0,94.642647
889.0,94.814089
890.0,94.898746
891.0,95.045152
892.0,95.18141
893.0,95.249185
894.0,95.388669
895.0,95.5861
896.0,95.715397
897.0,95.792245
898.0,95.952303
899.0,96.05621
900.0,96.096125
901.0,96.257084
902.0,96.461869
903.0,96.610261
904.0,96.783552
905.0,97.028504
906.0,97.199088
907.0,97.408091
908.0,97.637173
909.0,97.735308
910.0,97.852161
911.0,97.982168
912.0,98.101412
913.0,98.140328
914.0,98.275956
915.0,98.405015
916.0,98.578468
917.0,98.635027
918.0,98.81948
919.0,98.958881
920.0,99.00582
921.0,99.152291
922.0,99.180261
923.0,99.321748
924.0,99.437278
925.0,99.591983
926.0,99.742074
927.0,99.870367
928.0,99.910128
929.0,100.189865
930.0,100.332659
931.0,100.43075
932.0,100.583077
933.0,100.674533
934.0,100.704125
935.0,100.808716
936.0,100.896583
937.0,101.034354
938.0,101.185152
939.0,101.319051
940.0,101.418332
941.0,101.50535
942.0,101.630079
943.0,101.804039
944.0,101.847054
945.0,101.990339
946.0,102.141586
947.0,102.313212
948.0,102.474835
949.0,102.584336
950.0,102.615178
951.0,102.828092
952.0,102.864153
953.0,102.9953
954.0,103.1801
955.0,103.270924
956.0,103.373845
957.0,103.562178
958.0,103.695876
959.0,103.897149
960.0,104.038086
961.0,104.172127
962.0,104.289318
963.0,104.462626
964.0,104.609265
965.0,104.77844
966.0,104.88375
967.0,105.064955
968.0,105.206793
969.0,105.306702
970.0,105.346205
971.0,105.366089
972.0,105.415047
973.0,105.539088
974.0,105.639118
975.0,105.805098
976.0,105.880108
977.0,106.007923
978.0,106.105662
979.0,106.172055
980.0,106.279192
981.0,106.437478
982.0,106.532402
983.0,106.675046
984.0,106.762106
985.0,106.814147
986.0,106.850147
987.0,107.004076
988.0,107.239176
989.0,107.432168
990.0,107.464128
991.0,107.578893
992.0,107.633799
993.0,107.76138
994.0,107.819215
995.0,107.859217
996.0,107.943025
997.0,108.095726
998.0,108.114652
999.0,108.191444
1000.0,108.362634
